age,sex,region,EURef2016,education_age,work_stat,work_organisation,work_type,Hindsight,Poscountry,Posind,Govthand,Tradeimmig,BrexitID
64,"Woman","London","Remain","20+","Retired","Skipped","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Wrong","Very negative effect","Very negative effect","Very badly",2,"a Remainer"
47,"Woman","London","Remain","17-18","Not working","Private sector firm or company (e.g. limited companies and Plcs)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Wrong","Very negative effect","Don't know","Very badly",2,"a Remainer"
55,"Woman","North West","Leave","16","Not working","Private sector firm or company (e.g. limited companies and Plcs)","Semi-Skilled or Unskilled Manual Work (e.g. machine operator, assembler, postman, waitress, cleaner, labourer, driver, b","Right","Don't know","Don't know","Don't know",10,"a Leaver"
41,"Man","Scotland","Remain","19","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Wrong","Very negative effect","Neither positive nor negative","Fairly badly",5,"Neither a Leaver nor a Remainer"
34,"Man","North West","Leave","17-18","Working full time (30 or more hours per week)","Self-employed","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Don’t know","Don't know","Somewhat negative effect","Fairly badly",6,"a Leaver"
67,"Woman","London","Leave","20+","Working part time (8-29 hours a week)","Self-employed","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Right","Very positive effect","Somewhat positive effect","Very badly",5,"a Leaver"
38,"Man","London","Leave","17-18","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Skilled Manual Work (e.g. plumber, electrician, fitter)","Right","Somewhat positive effect","Neither positive nor negative","Don't know",7,"a Leaver"
67,"Man","Wales","Leave","20+","Working full time (30 or more hours per week)","Nationalised industry or public corporation (e.g. Post Office)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Right","Don't know","Very negative effect","Very badly",0,"Neither a Leaver nor a Remainer"
79,"Man","North West","Leave","16","Retired","Skipped","Semi-Skilled or Unskilled Manual Work (e.g. machine operator, assembler, postman, waitress, cleaner, labourer, driver, b","Right","Very positive effect","Very positive effect","Very badly",10,"a Leaver"
26,"Woman","London","Remain","20+","Not working","Skipped","Have never worked","Wrong","Somewhat negative effect","Neither positive nor negative","Very badly",5,"a Remainer"
69,"Woman","London","Did not vote","16","Retired","Skipped","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Don’t know","Neither positive nor negative","Neither positive nor negative","Fairly badly",4,"Don’t know"
42,"Man","East of England","Leave","17-18","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Semi-Skilled or Unskilled Manual Work (e.g. machine operator, assembler, postman, waitress, cleaner, labourer, driver, b","Right","Somewhat positive effect","Very positive effect","Very badly",10,"a Leaver"
47,"Man","West Midlands","Leave","20+","Working full time (30 or more hours per week)","Nationalised industry or public corporation (e.g. Post Office)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Wrong","Somewhat negative effect","Somewhat negative effect","Very badly",10,"Neither a Leaver nor a Remainer"
49,"Woman","East Midlands","Leave","16","Working part time (8-29 hours a week)","Private sector firm or company (e.g. limited companies and Plcs)","Semi-Skilled or Unskilled Manual Work (e.g. machine operator, assembler, postman, waitress, cleaner, labourer, driver, b","Right","Very positive effect","Neither positive nor negative","Don't know",6,"a Leaver"
46,"Woman","London","Remain","17-18","Working part time (8-29 hours a week)","Private sector firm or company (e.g. limited companies and Plcs)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Wrong","Somewhat negative effect","Neither positive nor negative","Fairly badly",6,"a Leaver"
58,"Woman","North East","Leave","17-18","Retired","Nationalised industry or public corporation (e.g. Post Office)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Right","Very positive effect","Somewhat positive effect","Fairly well",8,"a Leaver"
60,"Woman","South West","Leave","20+","Retired","Private sector firm or company (e.g. limited companies and Plcs)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Right","Very positive effect","Neither positive nor negative","Very badly",10,"Neither a Leaver nor a Remainer"
49,"Woman","Wales","Remain","16","Not working","Skipped","Semi-Skilled or Unskilled Manual Work (e.g. machine operator, assembler, postman, waitress, cleaner, labourer, driver, b","Wrong","Very negative effect","Very negative effect","Fairly badly",5,"a Remainer"
44,"Woman","North West","Remain","20+","Working full time (30 or more hours per week)","Other public sector employer (e.g. Central Government)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Wrong","Very negative effect","Very negative effect","Very badly",1,"a Remainer"
35,"Man","South East","Remain","Can't remember","Working full time (30 or more hours per week)","Other public sector employer (e.g. Central Government)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Wrong","Somewhat negative effect","Very negative effect","Very badly",0,"a Remainer"
47,"Woman","Wales","Remain","20+","Retired","Skipped","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Wrong","Somewhat negative effect","Neither positive nor negative","Fairly badly",3,"Neither a Leaver nor a Remainer"
23,"Man","South East","Remain","Still at school/Full time student","Working full time (30 or more hours per week)","Nationalised industry or public corporation (e.g. Post Office)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Wrong","Somewhat negative effect","Neither positive nor negative","Very badly",7,"a Remainer"
35,"Man","South West","Remain","16","Working full time (30 or more hours per week)","Nationalised industry or public corporation (e.g. Post Office)","Other","Wrong","Very negative effect","Somewhat negative effect","Very badly",5,"a Remainer"
18,"Man","Yorkshire and the Humber","Did not vote","16","Working full time (30 or more hours per week)","Skipped","Skilled Manual Work (e.g. plumber, electrician, fitter)","Don’t know","Somewhat negative effect","Neither positive nor negative","Fairly badly",7,"Neither a Leaver nor a Remainer"
81,"Woman","South East","Leave","16","Retired","Skipped","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Right","Somewhat positive effect","Very positive effect","Fairly well",9,"a Leaver"
23,"Woman","Scotland","Remain","Skipped","Working full time (30 or more hours per week)","Nationalised industry or public corporation (e.g. Post Office)","Sales or Services (e.g. commercial traveller, shop assistant, nursery nurse, care assistant, paramedic)","Wrong","Very negative effect","Very negative effect","Very badly",0,"a Remainer"
18,"Woman","South West","Did not vote","17-18","Working part time (8-29 hours a week)","Private sector firm or company (e.g. limited companies and Plcs)","Other","Wrong","Somewhat negative effect","Don't know","Fairly badly",5,"Neither a Leaver nor a Remainer"
39,"Man","Wales","Leave","Still at school/Full time student","Other","Other","Skilled Manual Work (e.g. plumber, electrician, fitter)","Right","Neither positive nor negative","Neither positive nor negative","Fairly badly",1,"Neither a Leaver nor a Remainer"
38,"Woman","London","Remain","20+","Not working","Skipped","Other","Wrong","Somewhat negative effect","Somewhat negative effect","Very badly",4,"Neither a Leaver nor a Remainer"
50,"Man","East of England","Leave","17-18","Working full time (30 or more hours per week)","Nationalised industry or public corporation (e.g. Post Office)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Right","Very positive effect","Somewhat positive effect","Very badly",9,"a Leaver"
56,"Woman","Scotland","Remain","16","Other","Other","Semi-Skilled or Unskilled Manual Work (e.g. machine operator, assembler, postman, waitress, cleaner, labourer, driver, b","Wrong","Somewhat negative effect","Somewhat negative effect","Very badly",5,"Neither a Leaver nor a Remainer"
25,"Man","Wales","Remain","Skipped","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Foreman or Supervisor of Other Workers (e.g. building site foreman, supervisor of cleaning workers)","Wrong","Very negative effect","Very negative effect","Very badly",5,"a Remainer"
23,"Woman","North West","Remain","20+","Working full time (30 or more hours per week)","Nationalised industry or public corporation (e.g. Post Office)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Wrong","Very negative effect","Very negative effect","Very badly",3,"a Leaver"
20,"Man","London","Remain","Still at school/Full time student","Full time student","Skipped","Have never worked","Wrong","Very negative effect","Somewhat negative effect","Very badly",0,"a Remainer"
59,"Woman","North West","Leave","16","Not working","Skipped","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Right","Somewhat positive effect","Somewhat positive effect","Fairly well",10,"a Leaver"
19,"Woman","Scotland","Did not vote","Still at school/Full time student","Full time student","Private sector firm or company (e.g. limited companies and Plcs)","Sales or Services (e.g. commercial traveller, shop assistant, nursery nurse, care assistant, paramedic)","Don’t know","Somewhat negative effect","Don't know","Fairly badly",3,"Neither a Leaver nor a Remainer"
57,"Man","South West","Leave","16","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Skilled Manual Work (e.g. plumber, electrician, fitter)","Right","Don't know","Don't know","Very badly",7,"Neither a Leaver nor a Remainer"
33,"Woman","East of England","Leave","19","Not working","Skipped","Semi-Skilled or Unskilled Manual Work (e.g. machine operator, assembler, postman, waitress, cleaner, labourer, driver, b","Don’t know","Somewhat positive effect","Somewhat positive effect","Fairly well",9,"a Leaver"
27,"Woman","South East","Remain","20+","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Wrong","Very negative effect","Very negative effect","Fairly badly",0,"a Remainer"
51,"Man","East Midlands","Leave","17-18","Other","Skipped","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Don’t know","Somewhat positive effect","Neither positive nor negative","Fairly badly",3,"Neither a Leaver nor a Remainer"
55,"Woman","North West","Leave","17-18","Working full time (30 or more hours per week)","Other public sector employer (e.g. Central Government)","Other","Right","Somewhat positive effect","Very positive effect","Fairly well",5,"a Leaver"
31,"Woman","South West","Remain","17-18","Working part time (8-29 hours a week)","Private sector firm or company (e.g. limited companies and Plcs)","Sales or Services (e.g. commercial traveller, shop assistant, nursery nurse, care assistant, paramedic)","Wrong","Very negative effect","Somewhat negative effect","Very badly",8,"a Remainer"
59,"Man","Yorkshire and the Humber","Remain","20+","Working part time (8-29 hours a week)","Nationalised industry or public corporation (e.g. Post Office)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Wrong","Very negative effect","Somewhat negative effect","Very badly",0,"a Remainer"
40,"Man","North West","Did not vote","19","Unemployed","Private sector firm or company (e.g. limited companies and Plcs)","Foreman or Supervisor of Other Workers (e.g. building site foreman, supervisor of cleaning workers)","Don’t know","Don't know","Don't know","Very badly",4,"Neither a Leaver nor a Remainer"
44,"Man","South East","Leave","16","Working full time (30 or more hours per week)","Self-employed","Skilled Manual Work (e.g. plumber, electrician, fitter)","Right","Very positive effect","Very positive effect","Fairly well",7,"Neither a Leaver nor a Remainer"
73,"Man","North East","Leave","15 or under","Retired","Skipped","Skilled Manual Work (e.g. plumber, electrician, fitter)","Right","Very positive effect","Very positive effect","Fairly well",10,"a Leaver"
59,"Woman","Scotland","Remain","20+","Working full time (30 or more hours per week)","Self-employed","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Wrong","Very negative effect","Somewhat positive effect","Very badly",5,"a Remainer"
26,"Man","West Midlands","Remain","17-18","Working part time (8-29 hours a week)","Other public sector employer (e.g. Central Government)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Wrong","Very negative effect","Somewhat negative effect","Very badly",5,"a Remainer"
29,"Woman","South East","Did not vote","Can't remember","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Sales or Services (e.g. commercial traveller, shop assistant, nursery nurse, care assistant, paramedic)","Wrong","Very negative effect","Very negative effect","Fairly badly",4,"Neither a Leaver nor a Remainer"
69,"Man","Yorkshire and the Humber","Leave","16","Retired","Nationalised industry or public corporation (e.g. Post Office)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Right","Very positive effect","Somewhat positive effect","Very badly",10,"a Leaver"
25,"Woman","London","Remain","17-18","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Other","Wrong","Somewhat negative effect","Somewhat negative effect","Fairly badly",0,"a Remainer"
42,"Woman","Yorkshire and the Humber","Leave","20+","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Right","Very positive effect","Very positive effect","Fairly badly",10,"a Leaver"
46,"Man","South West","Did not vote","20+","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Sales or Services (e.g. commercial traveller, shop assistant, nursery nurse, care assistant, paramedic)","Don’t know","Somewhat positive effect","Somewhat positive effect","Very badly",9,"Neither a Leaver nor a Remainer"
73,"Woman","North West","Leave","17-18","Retired","Private sector firm or company (e.g. limited companies and Plcs)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Wrong","Somewhat negative effect","Neither positive nor negative","Fairly badly",0,"Neither a Leaver nor a Remainer"
24,"Man","London","Did not vote","Can't remember","Full time student","Other","Other","Wrong","Somewhat negative effect","Somewhat negative effect","Fairly badly",1,"Neither a Leaver nor a Remainer"
25,"Woman","South West","Remain","17-18","Not working","Skipped","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Wrong","Very negative effect","Very negative effect","Very badly",0,"a Remainer"
22,"Man","West Midlands","Did not vote","19","Working part time (8-29 hours a week)","Private sector firm or company (e.g. limited companies and Plcs)","Semi-Skilled or Unskilled Manual Work (e.g. machine operator, assembler, postman, waitress, cleaner, labourer, driver, b","Don’t know","Somewhat negative effect","Don't know","Fairly badly",7,"a Leaver"
41,"Woman","South East","Remain","17-18","Working part time (8-29 hours a week)","Charity/voluntary sector","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Wrong","Somewhat negative effect","Don't know","Fairly well",5,"Neither a Leaver nor a Remainer"
30,"Man","London","Remain","20+","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Wrong","Very negative effect","Very negative effect","Very badly",0,"a Remainer"
66,"Woman","Yorkshire and the Humber","Remain","15 or under","Retired","Skipped","Semi-Skilled or Unskilled Manual Work (e.g. machine operator, assembler, postman, waitress, cleaner, labourer, driver, b","Wrong","Neither positive nor negative","Neither positive nor negative","Fairly badly",5,"a Remainer"
38,"Woman","West Midlands","Remain","20+","Working full time (30 or more hours per week)","Nationalised industry or public corporation (e.g. Post Office)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Wrong","Very negative effect","Very negative effect","Very badly",0,"a Remainer"
34,"Man","North West","Remain","20+","Working full time (30 or more hours per week)","Nationalised industry or public corporation (e.g. Post Office)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Wrong","Very negative effect","Very negative effect","Very badly",3,"a Remainer"
41,"Woman","South East","Did not vote","17-18","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Semi-Skilled or Unskilled Manual Work (e.g. machine operator, assembler, postman, waitress, cleaner, labourer, driver, b","Wrong","Somewhat negative effect","Somewhat negative effect","Fairly badly",8,"Neither a Leaver nor a Remainer"
64,"Man","East Midlands","Remain","19","Working full time (30 or more hours per week)","Self-employed","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Wrong","Very negative effect","Somewhat negative effect","Very badly",0,"a Remainer"
40,"Woman","North West","Remain","20+","Working full time (30 or more hours per week)","Nationalised industry or public corporation (e.g. Post Office)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Wrong","Very negative effect","Very negative effect","Very badly",2,"Neither a Leaver nor a Remainer"
67,"Woman","South East","Leave","15 or under","Retired","Skipped","Semi-Skilled or Unskilled Manual Work (e.g. machine operator, assembler, postman, waitress, cleaner, labourer, driver, b","Right","Very positive effect","Somewhat positive effect","Very badly",10,"Neither a Leaver nor a Remainer"
36,"Woman","Wales","Remain","Skipped","Not working","Skipped","Sales or Services (e.g. commercial traveller, shop assistant, nursery nurse, care assistant, paramedic)","Wrong","Very negative effect","Very negative effect","Very badly",5,"a Remainer"
24,"Woman","East of England","Remain","20+","Working full time (30 or more hours per week)","Nationalised industry or public corporation (e.g. Post Office)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Wrong","Very negative effect","Somewhat negative effect","Fairly badly",0,"a Remainer"
19,"Woman","East of England","Did not vote","Skipped","Full time student","Skipped","Have never worked","Don’t know","Neither positive nor negative","Neither positive nor negative","Fairly well",10,"Neither a Leaver nor a Remainer"
18,"Woman","North West","Did not vote","Still at school/Full time student","Full time student","Skipped","Have never worked","Don’t know","Don't know","Somewhat negative effect","Don't know",3,"Neither a Leaver nor a Remainer"
41,"Woman","West Midlands","Remain","17-18","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Wrong","Very negative effect","Somewhat negative effect","Very badly",0,"a Remainer"
77,"Man","South West","Leave","20+","Retired","Skipped","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Right","Somewhat positive effect","Very positive effect","Very badly",0,"a Leaver"
59,"Man","Scotland","Leave","16","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Foreman or Supervisor of Other Workers (e.g. building site foreman, supervisor of cleaning workers)","Wrong","Very negative effect","Somewhat negative effect","Very badly",5,"a Remainer"
54,"Man","Scotland","Did not vote","20+","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Skilled Manual Work (e.g. plumber, electrician, fitter)","Right","Very positive effect","Very positive effect","Very well",9,"a Leaver"
52,"Woman","West Midlands","Did not vote","17-18","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Sales or Services (e.g. commercial traveller, shop assistant, nursery nurse, care assistant, paramedic)","Right","Somewhat positive effect","Somewhat positive effect","Fairly badly",5,"a Leaver"
31,"Man","East of England","Did not vote","16","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Other","Right","Somewhat positive effect","Somewhat positive effect","Fairly badly",2,"Neither a Leaver nor a Remainer"
69,"Man","West Midlands","Leave","15 or under","Retired","Skipped","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Right","Very positive effect","Somewhat positive effect","Fairly badly",5,"a Leaver"
44,"Woman","Wales","Leave","20+","Working part time (8-29 hours a week)","Private sector firm or company (e.g. limited companies and Plcs)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Don’t know","Neither positive nor negative","Neither positive nor negative","Very badly",0,"Neither a Leaver nor a Remainer"
68,"Woman","Yorkshire and the Humber","Did not vote","15 or under","Retired","Skipped","Semi-Skilled or Unskilled Manual Work (e.g. machine operator, assembler, postman, waitress, cleaner, labourer, driver, b","Don’t know","Don't know","Don't know","Don't know",5,"Don’t know"
49,"Woman","East of England","Remain","16","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Wrong","Neither positive nor negative","Neither positive nor negative","Fairly badly",2,"Neither a Leaver nor a Remainer"
68,"Woman","South East","Leave","15 or under","Retired","Skipped","Semi-Skilled or Unskilled Manual Work (e.g. machine operator, assembler, postman, waitress, cleaner, labourer, driver, b","Right","Very positive effect","Very positive effect","Fairly badly",3,"a Leaver"
22,"Woman","Scotland","Did not vote","Skipped","Full time student","Skipped","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Wrong","Somewhat negative effect","Very negative effect","Don't know",4,"a Remainer"
43,"Woman","North East","Remain","20+","Working part time (8-29 hours a week)","Nationalised industry or public corporation (e.g. Post Office)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Wrong","Very negative effect","Very negative effect","Very badly",0,"a Remainer"
49,"Woman","Yorkshire and the Humber","Remain","20+","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Wrong","Somewhat positive effect","Don't know","Fairly well",3,"Neither a Leaver nor a Remainer"
71,"Woman","Wales","Remain","16","Working part time (Less than 8 hours a week)","Charity/voluntary sector","Other","Wrong","Somewhat negative effect","Somewhat negative effect","Fairly badly",5,"a Remainer"
55,"Woman","South East","Leave","20+","Unemployed","Other","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Don’t know","Don't know","Neither positive nor negative","Very badly",5,"a Leaver"
35,"Woman","London","Remain","20+","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Right","Somewhat negative effect","Somewhat negative effect","Fairly badly",8,"a Remainer"
21,"Woman","Yorkshire and the Humber","Remain","17-18","Unemployed","Have never worked","Have never worked","Wrong","Somewhat negative effect","Neither positive nor negative","Fairly badly",5,"a Remainer"
63,"Woman","East of England","Leave","16","Retired","Skipped","Other","Wrong","Very negative effect","Very negative effect","Very badly",1,"a Remainer"
66,"Woman","Yorkshire and the Humber","Remain","15 or under","Retired","Skipped","Semi-Skilled or Unskilled Manual Work (e.g. machine operator, assembler, postman, waitress, cleaner, labourer, driver, b","Wrong","Somewhat negative effect","Somewhat negative effect","Fairly badly",3,"a Remainer"
55,"Man","Yorkshire and the Humber","Leave","20+","Working full time (30 or more hours per week)","Other public sector employer (e.g. Central Government)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Don’t know","Neither positive nor negative","Neither positive nor negative","Very badly",0,"a Leaver"
56,"Man","London","Remain","15 or under","Working full time (30 or more hours per week)","Self-employed","Other","Wrong","Very negative effect","Very negative effect","Very badly",0,"a Remainer"
52,"Woman","North West","Did not vote","19","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Wrong","Don't know","Somewhat negative effect","Fairly well",7,"Neither a Leaver nor a Remainer"
59,"Woman","East of England","Leave","16","Working full time (30 or more hours per week)","Nationalised industry or public corporation (e.g. Post Office)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Right","Very positive effect","Very positive effect","Fairly badly",6,"a Leaver"
55,"Woman","Scotland","Remain","20+","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Wrong","Very negative effect","Somewhat negative effect","Very badly",5,"Neither a Leaver nor a Remainer"
64,"Man","South East","Remain","20+","Retired","Skipped","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Wrong","Very negative effect","Somewhat negative effect","Very badly",7,"Neither a Leaver nor a Remainer"
59,"Woman","East Midlands","Leave","16","Working part time (8-29 hours a week)","Charity/voluntary sector","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Right","Very positive effect","Somewhat positive effect","Don't know",5,"Neither a Leaver nor a Remainer"
47,"Woman","North West","Leave","Skipped","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Right","Somewhat positive effect","Neither positive nor negative","Don't know",8,"a Leaver"
40,"Man","West Midlands","Remain","16","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Don’t know","Somewhat negative effect","Somewhat negative effect","Very badly",1,"Neither a Leaver nor a Remainer"
46,"Woman","South East","Leave","20+","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Right","Very positive effect","Very positive effect","Fairly badly",5,"a Leaver"
30,"Man","South West","Did not vote","16","Working full time (30 or more hours per week)","Other","Other","Right","Don't know","Don't know","Very badly",8,"a Leaver"
48,"Woman","Yorkshire and the Humber","Leave","Skipped","Unemployed","Skipped","Semi-Skilled or Unskilled Manual Work (e.g. machine operator, assembler, postman, waitress, cleaner, labourer, driver, b","Wrong","Very negative effect","Very negative effect","Very badly",6,"Neither a Leaver nor a Remainer"
64,"Man","North East","Leave","15 or under","Retired","Other public sector employer (e.g. Central Government)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Right","Very positive effect","Very positive effect","Very badly",10,"a Leaver"
21,"Woman","London","Did not vote","Can't remember","Other","Other","Have never worked","Don’t know","Don't know","Don't know","Don't know",5,"Don’t know"
62,"Man","East of England","Leave","15 or under","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Semi-Skilled or Unskilled Manual Work (e.g. machine operator, assembler, postman, waitress, cleaner, labourer, driver, b","Right","Very positive effect","Very positive effect","Fairly badly",5,"a Leaver"
31,"Man","Wales","Leave","16","Unemployed","Skipped","Semi-Skilled or Unskilled Manual Work (e.g. machine operator, assembler, postman, waitress, cleaner, labourer, driver, b","Right","Somewhat positive effect","Somewhat positive effect","Fairly well",8,"a Remainer"
46,"Woman","North East","Did not vote","16","Unemployed","Skipped","Skilled Manual Work (e.g. plumber, electrician, fitter)","Wrong","Somewhat negative effect","Somewhat negative effect","Very badly",3,"a Remainer"
23,"Man","West Midlands","Remain","Still at school/Full time student","Working part time (8-29 hours a week)","Skipped","Semi-Skilled or Unskilled Manual Work (e.g. machine operator, assembler, postman, waitress, cleaner, labourer, driver, b","Wrong","Somewhat negative effect","Neither positive nor negative","Very badly",4,"Don’t know"
68,"Man","East Midlands","Leave","15 or under","Retired","Skipped","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Right","Very positive effect","Somewhat positive effect","Very badly",5,"a Leaver"
53,"Man","North East","Remain","20+","Retired","Skipped","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Wrong","Somewhat negative effect","Somewhat negative effect","Don't know",2,"Neither a Leaver nor a Remainer"
76,"Man","North West","Leave","16","Retired","Skipped","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Right","Very positive effect","Very positive effect","Very badly",10,"a Leaver"
67,"Woman","Wales","Remain","15 or under","Retired","Skipped","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Wrong","Somewhat negative effect","Somewhat negative effect","Very badly",0,"a Remainer"
55,"Man","South West","Remain","20+","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Wrong","Very negative effect","Somewhat negative effect","Very badly",0,"Neither a Leaver nor a Remainer"
18,"Woman","East Midlands","Did not vote","Still at school/Full time student","Full time student","Skipped","Semi-Skilled or Unskilled Manual Work (e.g. machine operator, assembler, postman, waitress, cleaner, labourer, driver, b","Wrong","Somewhat negative effect","Neither positive nor negative","Very badly",2,"Neither a Leaver nor a Remainer"
42,"Woman","South East","Leave","19","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Right","Somewhat positive effect","Don't know","Fairly badly",7,"a Leaver"
48,"Woman","South East","Leave","16","Unemployed","Self-employed","Other","Right","Very positive effect","Neither positive nor negative","Very badly",10,"a Leaver"
