age,sex,region,EURef2016,education_level,work_stat,work_type,Poscountry,Posind,Govthand,Tradeimmig,BrexitID
41,"Man","North West","Leave","City & Guilds certificate","Working part time (8-29 hours a week)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Somewhat positive effect","Somewhat positive effect","Fairly well",1,"Neither a Leaver nor a Remainer"
78,"Man","South West","Leave","CSE grade 1, GCE O level, GCSE, School Certificate","Retired","Sales or Services (e.g. commercial traveller, shop assistant, nursery nurse, care assistant, paramedic)","Somewhat positive effect","Somewhat positive effect","Don't know",7,"a Leaver"
43,"Man","Yorkshire and the Humber","Did not vote","Prefer not to say","Unemployed","Have never worked","Somewhat negative effect","Very negative effect","Fairly badly",0,"Don’t know"
61,"Woman","South East","Leave","ONC","Not working","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Very positive effect","Very positive effect","Fairly well",5,"a Leaver"
66,"Man","East Midlands","Leave","GCE A level or Higher Certificate","Retired","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Very positive effect","Very positive effect","Fairly well",7,"a Leaver"
75,"Man","South East","Leave","Other technical, professional or higher qualification","Retired","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Somewhat positive effect","Neither positive nor negative","Fairly well",3,"a Leaver"
71,"Man","South West","Leave","City & Guilds certificate - advanced","Retired","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Somewhat positive effect","Very positive effect","Fairly well",2,"a Leaver"
60,"Woman","North West","Remain","University diploma","Working full time (30 or more hours per week)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Very negative effect","Very negative effect","Very badly",2,"a Remainer"
40,"Man","London","Leave","GCE A level or Higher Certificate","Working full time (30 or more hours per week)","Semi-Skilled or Unskilled Manual Work (e.g. machine operator, assembler, postman, waitress, cleaner, labourer, driver, b","Somewhat positive effect","Somewhat positive effect","Fairly well",8,"a Leaver"
28,"Woman","South West","Did not vote","City & Guilds certificate","Working part time (8-29 hours a week)","Skilled Manual Work (e.g. plumber, electrician, fitter)","Don't know","Don't know","Don't know",0,"Don’t know"
55,"Woman","East of England","Leave","University diploma","Working full time (30 or more hours per week)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Very positive effect","Somewhat positive effect","Fairly well",10,"a Leaver"
59,"Woman","North West","Remain","City & Guilds certificate","Not working","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Somewhat negative effect","Don't know","Don't know",5,"a Remainer"
48,"Man","South East","Remain","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","Working part time (8-29 hours a week)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Neither positive nor negative","Neither positive nor negative","Very well",7,"a Remainer"
80,"Woman","East of England","Leave","No formal qualifications","Retired","Semi-Skilled or Unskilled Manual Work (e.g. machine operator, assembler, postman, waitress, cleaner, labourer, driver, b","Very positive effect","Don't know","Fairly badly",4,"a Leaver"
56,"Man","East Midlands","Leave","CSE grades 2-5","Working full time (30 or more hours per week)","Sales or Services (e.g. commercial traveller, shop assistant, nursery nurse, care assistant, paramedic)","Don't know","Somewhat positive effect","Fairly well",8,"a Leaver"
65,"Woman","East of England","Leave","GCE A level or Higher Certificate","Working part time (8-29 hours a week)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Somewhat positive effect","Neither positive nor negative","Fairly well",3,"a Leaver"
72,"Woman","South East","Leave","GCE A level or Higher Certificate","Retired","Other","Somewhat positive effect","Neither positive nor negative","Fairly well",5,"a Leaver"
40,"Woman","North West","Leave","CSE grade 1, GCE O level, GCSE, School Certificate","Working full time (30 or more hours per week)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Very positive effect","Somewhat positive effect","Fairly well",9,"a Leaver"
47,"Woman","South West","Leave","Other technical, professional or higher qualification","Working full time (30 or more hours per week)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Don't know","Don't know","Fairly badly",3,"Neither a Leaver nor a Remainer"
45,"Woman","North West","Cannot remember","Don't know","Working part time (8-29 hours a week)","Other","Somewhat positive effect","Don't know","Don't know",7,"a Leaver"
62,"Man","South West","Leave","University diploma","Retired","Other","Very positive effect","Very positive effect","Fairly well",0,"a Leaver"
19,"Man","Yorkshire and the Humber","Did not vote","GCE A level or Higher Certificate","Full time student","Have never worked","Neither positive nor negative","Neither positive nor negative","Fairly well",3,"Neither a Leaver nor a Remainer"
22,"Woman","Yorkshire and the Humber","Remain","GCE A level or Higher Certificate","Working full time (30 or more hours per week)","Semi-Skilled or Unskilled Manual Work (e.g. machine operator, assembler, postman, waitress, cleaner, labourer, driver, b","Very negative effect","Very negative effect","Very badly",5,"a Remainer"
65,"Woman","East Midlands","Remain","Other technical, professional or higher qualification","Retired","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Very negative effect","Somewhat negative effect","Fairly badly",3,"a Remainer"
22,"Woman","Scotland","Did not vote","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","Working part time (8-29 hours a week)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Very negative effect","Somewhat negative effect","Very badly",1,"a Remainer"
36,"Woman","North East","Remain","CSE grade 1, GCE O level, GCSE, School Certificate","Not working","Semi-Skilled or Unskilled Manual Work (e.g. machine operator, assembler, postman, waitress, cleaner, labourer, driver, b","Very negative effect","Don't know","Very badly",5,"a Remainer"
47,"Woman","Scotland","Remain","Other technical, professional or higher qualification","Working part time (8-29 hours a week)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Very negative effect","Very negative effect","Very badly",0,"a Remainer"
41,"Man","North East","Leave","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","Working full time (30 or more hours per week)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Very negative effect","Somewhat negative effect","Very badly",0,"Neither a Leaver nor a Remainer"
61,"Man","South East","Leave","Other technical, professional or higher qualification","Working full time (30 or more hours per week)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Neither positive nor negative","Neither positive nor negative","Fairly badly",5,"Neither a Leaver nor a Remainer"
48,"Woman","North West","Did not vote","No formal qualifications","Other","Semi-Skilled or Unskilled Manual Work (e.g. machine operator, assembler, postman, waitress, cleaner, labourer, driver, b","Very positive effect","Very positive effect","Fairly badly",10,"a Leaver"
43,"Woman","East of England","Remain","No formal qualifications","Not working","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Neither positive nor negative","Neither positive nor negative","Fairly badly",8,"a Remainer"
40,"Man","Yorkshire and the Humber","Remain","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","Working full time (30 or more hours per week)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Very negative effect","Somewhat negative effect","Very badly",1,"a Remainer"
62,"Woman","North East","Leave","Other technical, professional or higher qualification","Retired","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Very positive effect","Very positive effect","Fairly well",10,"a Leaver"
67,"Woman","South East","Leave","University diploma","Retired","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Very positive effect","Very positive effect","Fairly well",8,"a Leaver"
58,"Man","North East","Leave","Recognised trade apprenticeship completed","Working full time (30 or more hours per week)","Other","Very positive effect","Very positive effect","Very well",5,"a Leaver"
29,"Man","East Midlands","Did not vote","Other technical, professional or higher qualification","Working full time (30 or more hours per week)","Skilled Manual Work (e.g. plumber, electrician, fitter)","Don't know","Neither positive nor negative","Don't know",6,"Neither a Leaver nor a Remainer"
55,"Woman","Scotland","Leave","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","Full time student","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Very positive effect","Very positive effect","Fairly well",10,"a Leaver"
46,"Man","Yorkshire and the Humber","Leave","Other technical, professional or higher qualification","Working full time (30 or more hours per week)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Somewhat positive effect","Somewhat positive effect","Very well",8,"a Leaver"
44,"Woman","South East","Remain","Nursing qualification (e.g. SEN, SRN, SCM, RGN)","Working full time (30 or more hours per week)","Sales or Services (e.g. commercial traveller, shop assistant, nursery nurse, care assistant, paramedic)","Somewhat negative effect","Neither positive nor negative","Don't know",1,"a Remainer"
37,"Woman","North West","Remain","Other technical, professional or higher qualification","Working full time (30 or more hours per week)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Somewhat negative effect","Neither positive nor negative","Fairly well",3,"a Remainer"
20,"Woman","North West","Did not vote","Don't know","Working part time (Less than 8 hours a week)","Have never worked","Don't know","Don't know","Don't know",7,"Don’t know"
32,"Woman","South East","Leave","Youth training certificate/skillseekers","Working part time (8-29 hours a week)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Don't know","Don't know","Don't know",10,"a Leaver"
72,"Man","North West","Remain","CSE grade 1, GCE O level, GCSE, School Certificate","Retired","Skilled Manual Work (e.g. plumber, electrician, fitter)","Somewhat positive effect","Don't know","Fairly well",5,"a Leaver"
62,"Woman","East of England","Leave","Teaching qualification (not degree)","Working part time (8-29 hours a week)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Somewhat positive effect","Somewhat positive effect","Fairly well",8,"a Leaver"
41,"Woman","West Midlands","Did not vote","Other technical, professional or higher qualification","Working full time (30 or more hours per week)","Semi-Skilled or Unskilled Manual Work (e.g. machine operator, assembler, postman, waitress, cleaner, labourer, driver, b","Very negative effect","Don't know","Very badly",5,"Neither a Leaver nor a Remainer"
70,"Man","East Midlands","Remain","CSE grade 1, GCE O level, GCSE, School Certificate","Retired","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Somewhat negative effect","Somewhat negative effect","Fairly badly",5,"a Remainer"
47,"Woman","East of England","Remain","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","Working full time (30 or more hours per week)","Other","Very negative effect","Very negative effect","Very badly",5,"a Remainer"
37,"Woman","East Midlands","Cannot remember","CSE grades 2-5","Working part time (8-29 hours a week)","Foreman or Supervisor of Other Workers (e.g. building site foreman, supervisor of cleaning workers)","Don't know","Don't know","Don't know",6,"Don’t know"
68,"Man","West Midlands","Leave","No formal qualifications","Retired","Skilled Manual Work (e.g. plumber, electrician, fitter)","Very positive effect","Very positive effect","Very well",10,"a Leaver"
48,"Woman","Yorkshire and the Humber","Did not vote","City & Guilds certificate","Unemployed","Other","Don't know","Don't know","Don't know",9,"a Remainer"
39,"Woman","North West","Leave","CSE grade 1, GCE O level, GCSE, School Certificate","Not working","Have never worked","Somewhat negative effect","Neither positive nor negative","Don't know",7,"Neither a Leaver nor a Remainer"
61,"Woman","Yorkshire and the Humber","Remain","CSE grade 1, GCE O level, GCSE, School Certificate","Retired","Other","Very negative effect","Somewhat negative effect","Very badly",0,"a Remainer"
35,"Woman","South East","Remain","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","Working full time (30 or more hours per week)","Semi-Skilled or Unskilled Manual Work (e.g. machine operator, assembler, postman, waitress, cleaner, labourer, driver, b","Somewhat negative effect","Don't know","Fairly badly",3,"Neither a Leaver nor a Remainer"
42,"Woman","North West","Leave","CSE grades 2-5","Working part time (8-29 hours a week)","Semi-Skilled or Unskilled Manual Work (e.g. machine operator, assembler, postman, waitress, cleaner, labourer, driver, b","Somewhat positive effect","Neither positive nor negative","Very badly",10,"a Leaver"
62,"Woman","North West","Remain","Nursing qualification (e.g. SEN, SRN, SCM, RGN)","Working part time (8-29 hours a week)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Somewhat negative effect","Neither positive nor negative","Very badly",5,"a Remainer"
58,"Man","South West","Leave","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","Working part time (8-29 hours a week)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Very positive effect","Very positive effect","Fairly badly",9,"a Leaver"
45,"Man","North East","Remain","GCE A level or Higher Certificate","Working full time (30 or more hours per week)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Somewhat negative effect","Very negative effect","Very badly",0,"a Remainer"
46,"Woman","East of England","Leave","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","Working full time (30 or more hours per week)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Somewhat positive effect","Neither positive nor negative","Very badly",5,"a Leaver"
67,"Man","West Midlands","Leave","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","Retired","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Very positive effect","Very positive effect","Fairly well",5,"a Leaver"
66,"Man","North East","Remain","GCE A level or Higher Certificate","Retired","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Very negative effect","Very negative effect","Very badly",0,"a Remainer"
57,"Woman","Scotland","Remain","Other technical, professional or higher qualification","Working full time (30 or more hours per week)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Somewhat negative effect","Somewhat negative effect","Fairly badly",3,"Neither a Leaver nor a Remainer"
76,"Man","Scotland","Remain","Scottish Higher Certificate","Retired","Skilled Manual Work (e.g. plumber, electrician, fitter)","Very positive effect","Neither positive nor negative","Very badly",8,"Neither a Leaver nor a Remainer"
52,"Woman","East of England","Leave","CSE grade 1, GCE O level, GCSE, School Certificate","Working part time (8-29 hours a week)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Don't know","Don't know","Fairly well",4,"a Leaver"
46,"Man","North West","Leave","University or CNAA higher degree (e.g. M.Sc, Ph.D)","Working full time (30 or more hours per week)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Don't know","Don't know","Very badly",2,"Neither a Leaver nor a Remainer"
40,"Man","South West","Remain","Other technical, professional or higher qualification","Not working","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Very negative effect","Very negative effect","Very badly",0,"a Remainer"
35,"Man","East Midlands","Did not vote","Don't know","Unemployed","Have never worked","Neither positive nor negative","Neither positive nor negative","Very badly",8,"Neither a Leaver nor a Remainer"
34,"Woman","South West","Leave","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","Working full time (30 or more hours per week)","Semi-Skilled or Unskilled Manual Work (e.g. machine operator, assembler, postman, waitress, cleaner, labourer, driver, b","Very positive effect","Very positive effect","Fairly well",10,"a Leaver"
58,"Woman","North West","Remain","GCE A level or Higher Certificate","Not working","Other","Very negative effect","Very negative effect","Very badly",0,"a Remainer"
36,"Woman","North West","Leave","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","Working part time (8-29 hours a week)","Semi-Skilled or Unskilled Manual Work (e.g. machine operator, assembler, postman, waitress, cleaner, labourer, driver, b","Somewhat positive effect","Neither positive nor negative","Very well",0,"a Leaver"
19,"Woman","South East","Did not vote","GCE A level or Higher Certificate","Full time student","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Don't know","Don't know","Don't know",5,"Neither a Leaver nor a Remainer"
62,"Man","Yorkshire and the Humber","Leave","GCE A level or Higher Certificate","Working full time (30 or more hours per week)","Other","Very positive effect","Very positive effect","Fairly well",9,"a Leaver"
49,"Woman","South East","Remain","CSE grades 2-5","Working part time (8-29 hours a week)","Sales or Services (e.g. commercial traveller, shop assistant, nursery nurse, care assistant, paramedic)","Neither positive nor negative","Neither positive nor negative","Don't know",5,"Neither a Leaver nor a Remainer"
57,"Woman","South East","Leave","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","Retired","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Very positive effect","Somewhat positive effect","Fairly well",3,"a Leaver"
27,"Man","East of England","Remain","Don't know","Not working","Have never worked","Very negative effect","Somewhat negative effect","Very badly",3,"a Remainer"
36,"Woman","East Midlands","Remain","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","Working full time (30 or more hours per week)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Somewhat negative effect","Somewhat negative effect","Very badly",4,"a Remainer"
56,"Man","North West","Leave","CSE grade 1, GCE O level, GCSE, School Certificate","Working full time (30 or more hours per week)","Semi-Skilled or Unskilled Manual Work (e.g. machine operator, assembler, postman, waitress, cleaner, labourer, driver, b","Very positive effect","Somewhat positive effect","Very well",7,"a Leaver"
32,"Woman","South East","Did not vote","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","Working full time (30 or more hours per week)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Neither positive nor negative","Somewhat negative effect","Very badly",1,"Neither a Leaver nor a Remainer"
82,"Man","South West","Leave","CSE grade 1, GCE O level, GCSE, School Certificate","Retired","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Very positive effect","Very positive effect","Very well",3,"a Leaver"
39,"Woman","South East","Remain","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","Working full time (30 or more hours per week)","Sales or Services (e.g. commercial traveller, shop assistant, nursery nurse, care assistant, paramedic)","Very negative effect","Somewhat negative effect","Very badly",2,"a Remainer"
61,"Man","East Midlands","Leave","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","Retired","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Don't know","Neither positive nor negative","Don't know",2,"a Leaver"
63,"Woman","East Midlands","Leave","No formal qualifications","Retired","Other","Very positive effect","Somewhat positive effect","Fairly well",5,"a Leaver"
74,"Man","East of England","Remain","No formal qualifications","Retired","Foreman or Supervisor of Other Workers (e.g. building site foreman, supervisor of cleaning workers)","Somewhat negative effect","Neither positive nor negative","Fairly badly",3,"a Remainer"
22,"Man","West Midlands","Remain","Prefer not to say","Not working","Have never worked","Somewhat negative effect","Don't know","Don't know",5,"a Remainer"
78,"Man","Yorkshire and the Humber","Leave","No formal qualifications","Retired","Skilled Manual Work (e.g. plumber, electrician, fitter)","Very positive effect","Neither positive nor negative","Fairly badly",5,"a Leaver"
70,"Woman","Scotland","Remain","CSE grade 1, GCE O level, GCSE, School Certificate","Retired","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Very negative effect","Very negative effect","Don't know",1,"a Remainer"
49,"Woman","Scotland","Leave","University diploma","Unemployed","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Somewhat negative effect","Very negative effect","Very badly",10,"Don’t know"
60,"Man","South West","Remain","University or CNAA higher degree (e.g. M.Sc, Ph.D)","Working full time (30 or more hours per week)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Somewhat negative effect","Somewhat negative effect","Don't know",5,"a Remainer"
40,"Man","South East","Remain","GCE A level or Higher Certificate","Working full time (30 or more hours per week)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Neither positive nor negative","Don't know","Don't know",8,"Neither a Leaver nor a Remainer"
68,"Man","South West","Leave","Recognised trade apprenticeship completed","Retired","Semi-Skilled or Unskilled Manual Work (e.g. machine operator, assembler, postman, waitress, cleaner, labourer, driver, b","Somewhat positive effect","Neither positive nor negative","Fairly badly",3,"a Leaver"
29,"Man","East of England","Remain","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","Full time student","Sales or Services (e.g. commercial traveller, shop assistant, nursery nurse, care assistant, paramedic)","Very negative effect","Very negative effect","Very badly",0,"a Remainer"
59,"Woman","Scotland","Remain","GCE A level or Higher Certificate","Working full time (30 or more hours per week)","Skilled Manual Work (e.g. plumber, electrician, fitter)","Somewhat negative effect","Neither positive nor negative","Fairly badly",4,"a Remainer"
52,"Woman","West Midlands","Leave","Other technical, professional or higher qualification","Working part time (8-29 hours a week)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Somewhat positive effect","Neither positive nor negative","Fairly well",10,"a Leaver"
37,"Woman","North West","Remain","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","Working part time (8-29 hours a week)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Somewhat negative effect","Neither positive nor negative","Fairly badly",8,"a Remainer"
21,"Woman","East of England","Remain","GCE A level or Higher Certificate","Full time student","Have never worked","Don't know","Don't know","Fairly well",2,"a Remainer"
75,"Woman","East of England","Leave","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","Retired","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Very positive effect","Neither positive nor negative","Very well",5,"a Leaver"
70,"Woman","South West","Did not vote","CSE grade 1, GCE O level, GCSE, School Certificate","Retired","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Somewhat positive effect","Somewhat positive effect","Very well",10,"Neither a Leaver nor a Remainer"
44,"Man","London","Remain","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","Working full time (30 or more hours per week)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Very negative effect","Somewhat negative effect","Very badly",0,"a Remainer"
19,"Woman","East of England","Did not vote","GCE A level or Higher Certificate","Working full time (30 or more hours per week)","Skilled Manual Work (e.g. plumber, electrician, fitter)","Somewhat negative effect","Don't know","Fairly badly",0,"a Remainer"
27,"Woman","Wales","Remain","CSE grade 1, GCE O level, GCSE, School Certificate","Working full time (30 or more hours per week)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Somewhat negative effect","Neither positive nor negative","Fairly badly",4,"a Remainer"
32,"Woman","South West","Did not vote","City & Guilds certificate - advanced","Working full time (30 or more hours per week)","Semi-Skilled or Unskilled Manual Work (e.g. machine operator, assembler, postman, waitress, cleaner, labourer, driver, b","Don't know","Neither positive nor negative","Fairly badly",7,"Neither a Leaver nor a Remainer"
64,"Man","South West","Remain","No formal qualifications","Working full time (30 or more hours per week)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Somewhat negative effect","Neither positive nor negative","Don't know",4,"a Remainer"
68,"Man","West Midlands","Leave","Other technical, professional or higher qualification","Retired","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Very positive effect","Very positive effect","Fairly well",7,"a Leaver"
71,"Man","Yorkshire and the Humber","Leave","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","Retired","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Somewhat positive effect","Don't know","Fairly well",5,"a Leaver"
40,"Woman","East of England","Remain","University diploma","Working full time (30 or more hours per week)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Very negative effect","Somewhat negative effect","Very badly",1,"a Remainer"
79,"Woman","South East","Leave","CSE grade 1, GCE O level, GCSE, School Certificate","Retired","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Somewhat positive effect","Don't know","Don't know",5,"a Leaver"
44,"Woman","West Midlands","Leave","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","Working full time (30 or more hours per week)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Very positive effect","Somewhat positive effect","Fairly well",3,"a Leaver"
57,"Woman","East of England","Leave","Prefer not to say","Not working","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Very positive effect","Very positive effect","Fairly well",7,"a Leaver"
73,"Man","Scotland","Leave","CSE grade 1, GCE O level, GCSE, School Certificate","Retired","Sales or Services (e.g. commercial traveller, shop assistant, nursery nurse, care assistant, paramedic)","Somewhat positive effect","Somewhat positive effect","Fairly well",8,"a Leaver"
46,"Man","London","Cannot remember","City & Guilds certificate - advanced","Working full time (30 or more hours per week)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Very negative effect","Very negative effect","Very badly",5,"a Remainer"
67,"Woman","Yorkshire and the Humber","Leave","GCE A level or Higher Certificate","Retired","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Don't know","Don't know","Very badly",5,"Neither a Leaver nor a Remainer"
36,"Woman","North West","Cannot remember","Other technical, professional or higher qualification","Working part time (8-29 hours a week)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Very negative effect","Neither positive nor negative","Fairly badly",5,"Neither a Leaver nor a Remainer"
19,"Woman","East of England","Did not vote","GCE A level or Higher Certificate","Working full time (30 or more hours per week)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Very negative effect","Somewhat negative effect","Very badly",0,"a Remainer"
50,"Woman","Yorkshire and the Humber","Remain","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","Working full time (30 or more hours per week)","Skilled Manual Work (e.g. plumber, electrician, fitter)","Very negative effect","Very negative effect","Very badly",0,"a Remainer"
70,"Man","Scotland","Did not vote","No formal qualifications","Retired","Sales or Services (e.g. commercial traveller, shop assistant, nursery nurse, care assistant, paramedic)","Somewhat positive effect","Somewhat positive effect","Very badly",10,"a Leaver"
70,"Man","London","Remain","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","Retired","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Somewhat negative effect","Neither positive nor negative","Don't know",0,"a Remainer"
58,"Man","East of England","Did not vote","No formal qualifications","Unemployed","Semi-Skilled or Unskilled Manual Work (e.g. machine operator, assembler, postman, waitress, cleaner, labourer, driver, b","Neither positive nor negative","Neither positive nor negative","Very badly",5,"a Leaver"
42,"Man","South East","Leave","University or CNAA higher degree (e.g. M.Sc, Ph.D)","Working full time (30 or more hours per week)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Somewhat positive effect","Somewhat positive effect","Don't know",7,"a Leaver"
22,"Woman","North East","Remain","Don't know","Other","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Don't know","Don't know","Don't know",5,"Don’t know"
54,"Man","South West","Remain","CSE grade 1, GCE O level, GCSE, School Certificate","Working full time (30 or more hours per week)","Sales or Services (e.g. commercial traveller, shop assistant, nursery nurse, care assistant, paramedic)","Somewhat negative effect","Somewhat negative effect","Fairly badly",0,"a Remainer"
63,"Man","Wales","Remain","University or CNAA higher degree (e.g. M.Sc, Ph.D)","Working part time (8-29 hours a week)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Very negative effect","Very negative effect","Very badly",0,"a Remainer"
27,"Man","West Midlands","Remain","CSE grades 2-5","Other","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Somewhat negative effect","Somewhat negative effect","Don't know",6,"a Remainer"
75,"Woman","East Midlands","Leave","No formal qualifications","Retired","Foreman or Supervisor of Other Workers (e.g. building site foreman, supervisor of cleaning workers)","Don't know","Don't know","Fairly badly",7,"Neither a Leaver nor a Remainer"
47,"Man","South West","Remain","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","Working full time (30 or more hours per week)","Other","Very negative effect","Very negative effect","Very badly",0,"a Remainer"
19,"Woman","Yorkshire and the Humber","Did not vote","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","Full time student","Other","Somewhat negative effect","Neither positive nor negative","Don't know",5,"a Remainer"
