age,sex,region,GEvote2015,EURef2016,political_attention,profile_gross_personal,profile_gross_household,education_age,education_level,socialgradeCIE1,work_stat,work_organisation,work_type,Hindsight,Poscountry,Posind,newspaper_readership,Govthand,Tradeimmig,BrexitID
58,"Man","South West","Liberal Democrat","Leave",6,"£35,000 to £39,999 per year","£60,000 to £69,999 per year","20+","University or CNAA higher degree (e.g. M.Sc, Ph.D)","C1","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Right","Neither positive nor negative","Neither positive nor negative","None","Fairly well",5,"Neither a Leaver nor a Remainer"
34,"Woman","West Midlands","DK or did not vote","Remain",3,"Prefer not to answer","Prefer not to answer","20+","University diploma","C1","Working part time (8-29 hours a week)","Other public sector employer (e.g. Central Government)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Wrong","Very negative effect","Very negative effect","None","Don't know",5,"Neither a Leaver nor a Remainer"
33,"Man","West Midlands","Conservative","Leave",8,"£45,000 to £49,999 per year","£40,000 to £44,999 per year","15 or under","GCE A level or Higher Certificate","C2","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Skilled Manual Work (e.g. plumber, electrician, fitter)","Right","Neither positive nor negative","Neither positive nor negative","None","Don't know",1,"Neither a Leaver nor a Remainer"
58,"Man","North West","Labour","Remain",5,"£25,000 to £29,999 per year","£25,000 to £29,999 per year","16","CSE grade 1, GCE O level, GCSE, School Certificate","C2","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Skilled Manual Work (e.g. plumber, electrician, fitter)","Wrong","Very negative effect","Very negative effect","The Mirror / Daily Record","Very badly",6,"a Remainer"
60,"Woman","Yorkshire and the Humber","Conservative","Remain",10,"Prefer not to answer","Prefer not to answer","17-18","CSE grade 1, GCE O level, GCSE, School Certificate","AB","Other","Other","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Right","Somewhat negative effect","Neither positive nor negative","The Daily Telegraph","Fairly well",3,"Neither a Leaver nor a Remainer"
32,"Woman","West Midlands","Conservative","Did not vote",2,"Prefer not to answer","£25,000 to £29,999 per year","19","Don't know","C1","Not working","Private sector firm or company (e.g. limited companies and Plcs)","Other","Wrong","Very negative effect","Very negative effect","None","Very badly",10,"a Remainer"
71,"Woman","Yorkshire and the Humber","UKIP","Leave",5,"£20,000 to £24,999 per year","£20,000 to £24,999 per year","16","CSE grade 1, GCE O level, GCSE, School Certificate","D","Retired","Skipped","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Right","Very positive effect","Very positive effect","The Daily Mail / The Scottish Daily Mail","Fairly badly",10,"a Leaver"
23,"Woman","West Midlands","Labour","Remain",3,"Don't know","Don't know","Still at school/Full time student","GCE A level or Higher Certificate","C1","Full time student","Have never worked","Semi-Skilled or Unskilled Manual Work (e.g. machine operator, assembler, postman, waitress, cleaner, labourer, driver, b","Wrong","Somewhat negative effect","Don't know","None","Don't know",3,"a Remainer"
33,"Man","North West","UKIP","Leave",4,"Don't know","Don't know","16","Prefer not to say","E","Other","Other","Have never worked","Right","Somewhat positive effect","Don't know","None","Fairly well",6,"Neither a Leaver nor a Remainer"
49,"Man","North East","Conservative","Leave",7,"Prefer not to answer","£15,000 to £19,999 per year","17-18","CSE grade 1, GCE O level, GCSE, School Certificate","E","Not working","Skipped","Other","Right","Somewhat positive effect","Somewhat positive effect","The Daily Mail / The Scottish Daily Mail","Fairly well",5,"a Leaver"
37,"Woman","London","DK or did not vote","Remain",0,"£35,000 to £39,999 per year","£35,000 to £39,999 per year","20+","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","AB","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Wrong","Very negative effect","Very negative effect","The Daily Mail / The Scottish Daily Mail","Very badly",0,"a Remainer"
77,"Man","West Midlands","Labour","Remain",5,"£10,000 to £14,999 per year","£10,000 to £14,999 per year","15 or under","Other technical, professional or higher qualification","C1","Retired","Skipped","Foreman or Supervisor of Other Workers (e.g. building site foreman, supervisor of cleaning workers)","Right","Very positive effect","Neither positive nor negative","None","Fairly well",9,"a Leaver"
62,"Woman","London","Labour","Remain",5,"£10,000 to £14,999 per year","£45,000 to £49,999 per year","20+","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","AB","Working part time (Less than 8 hours a week)","Self-employed","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Wrong","Very negative effect","Somewhat negative effect","None","Very badly",0,"a Remainer"
44,"Woman","East of England","Conservative","Remain",5,"£35,000 to £39,999 per year","£70,000 to £99,999 per year","20+","University or CNAA higher degree (e.g. M.Sc, Ph.D)","AB","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Wrong","Very negative effect","Very negative effect","None","Very badly",9,"a Remainer"
48,"Woman","West Midlands","Labour","Remain",8,"£10,000 to £14,999 per year","£10,000 to £14,999 per year","16","CSE grades 2-5","E","Not working","Skipped","Skilled Manual Work (e.g. plumber, electrician, fitter)","Wrong","Very negative effect","Neither positive nor negative","None","Don't know",5,"a Remainer"
34,"Woman","London","Conservative","Leave",6,"£25,000 to £29,999 per year","£50,000 to £59,999 per year","20+","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","C1","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Don’t know","Very negative effect","Somewhat negative effect","Other local daily morning newspaper","Fairly well",9,"a Leaver"
33,"Woman","South East","Conservative","Leave",6,"£10,000 to £14,999 per year","Don't know","17-18","GCE A level or Higher Certificate","D","Working part time (8-29 hours a week)","Nationalised industry or public corporation (e.g. Post Office)","Semi-Skilled or Unskilled Manual Work (e.g. machine operator, assembler, postman, waitress, cleaner, labourer, driver, b","Right","Very positive effect","Somewhat positive effect","The Daily Mail / The Scottish Daily Mail","Fairly well",10,"a Leaver"
47,"Woman","East Midlands","DK or did not vote","Remain",4,"£25,000 to £29,999 per year","£70,000 to £99,999 per year","20+","Other technical, professional or higher qualification","C2","Working full time (30 or more hours per week)","Nationalised industry or public corporation (e.g. Post Office)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Wrong","Somewhat negative effect","Somewhat negative effect","None","Fairly badly",6,"Don’t know"
69,"Man","London","DK or did not vote","Leave",4,"£15,000 to £19,999 per year","Don't know","15 or under","Don't know","C2","Retired","Skipped","Skilled Manual Work (e.g. plumber, electrician, fitter)","Right","Somewhat positive effect","Neither positive nor negative","None","Fairly well",5,"a Leaver"
42,"Woman","West Midlands","DK or did not vote","Did not vote",5,"Prefer not to answer","Don't know","Can't remember","City & Guilds certificate","C2","Not working","Skipped","Other","Right","Very positive effect","Very positive effect","None","Fairly well",5,"Neither a Leaver nor a Remainer"
46,"Man","East of England","Liberal Democrat","Leave",7,"£15,000 to £19,999 per year","£10,000 to £14,999 per year","16","CSE grade 1, GCE O level, GCSE, School Certificate","C2","Working full time (30 or more hours per week)","Self-employed","Semi-Skilled or Unskilled Manual Work (e.g. machine operator, assembler, postman, waitress, cleaner, labourer, driver, b","Don’t know","Neither positive nor negative","Neither positive nor negative","None","Fairly well",10,"a Leaver"
33,"Woman","East Midlands","Conservative","Did not vote",6,"Prefer not to answer","Prefer not to answer","20+","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","C1","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Wrong","Somewhat negative effect","Neither positive nor negative","None","Don't know",2,"a Remainer"
63,"Woman","London","Labour","Remain",10,"£5,000 to £9,999 per year","£5,000 to £9,999 per year","20+","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","AB","Retired","Skipped","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Wrong","Very negative effect","Very negative effect","The Guardian","Very badly",0,"a Remainer"
37,"Man","West Midlands","UKIP","Leave",10,"£40,000 to £44,999 per year","£40,000 to £44,999 per year","20+","University or CNAA higher degree (e.g. M.Sc, Ph.D)","AB","Working full time (30 or more hours per week)","Nationalised industry or public corporation (e.g. Post Office)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Right","Very positive effect","Very positive effect","The Times","Fairly well",4,"a Leaver"
38,"Woman","West Midlands","DK or did not vote","Did not vote",0,"Don't know","Don't know","16","No formal qualifications","E","Unemployed","Skipped","Semi-Skilled or Unskilled Manual Work (e.g. machine operator, assembler, postman, waitress, cleaner, labourer, driver, b","Don’t know","Don't know","Don't know","None","Don't know",5,"Don’t know"
64,"Woman","East Midlands","Labour","Leave",5,"£20,000 to £24,999 per year","£20,000 to £24,999 per year","16","Nursing qualification (e.g. SEN, SRN, SCM, RGN)","C1","Retired","Skipped","Other","Right","Somewhat positive effect","Neither positive nor negative","The Mirror / Daily Record","Fairly badly",2,"a Leaver"
42,"Woman","South East","Conservative","Leave",3,"Prefer not to answer","Prefer not to answer","19","GCE A level or Higher Certificate","E","Not working","Skipped","Semi-Skilled or Unskilled Manual Work (e.g. machine operator, assembler, postman, waitress, cleaner, labourer, driver, b","Right","Very positive effect","Somewhat positive effect","Other local daily morning newspaper","Fairly well",6,"Neither a Leaver nor a Remainer"
52,"Woman","East of England","Conservative","Remain",3,"£20,000 to £24,999 per year","£45,000 to £49,999 per year","19","ONC","C1","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Wrong","Somewhat negative effect","Somewhat negative effect","None","Don't know",3,"a Remainer"
58,"Man","London","Conservative","Leave",8,"£45,000 to £49,999 per year","£60,000 to £69,999 per year","16","City & Guilds certificate","C2","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Skilled Manual Work (e.g. plumber, electrician, fitter)","Right","Very positive effect","Very positive effect","The Sun","Fairly well",8,"a Leaver"
47,"Woman","Yorkshire and the Humber","Labour","Remain",5,"£30,000 to £34,999 per year","£30,000 to £34,999 per year","16","Other technical, professional or higher qualification","C2","Other","Other","Other","Wrong","Very negative effect","Very negative effect","The Sun","Very badly",5,"a Remainer"
59,"Woman","London","Labour","Remain",7,"£25,000 to £29,999 per year","Don't know","16","Other technical, professional or higher qualification","C2","Working full time (30 or more hours per week)","Nationalised industry or public corporation (e.g. Post Office)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Wrong","Somewhat negative effect","Don't know","None","Fairly badly",5,"a Remainer"
69,"Man","Wales","Plaid","Leave",3,"£5,000 to £9,999 per year","£5,000 to £9,999 per year","16","CSE grade 1, GCE O level, GCSE, School Certificate","E","Retired","Skipped","Semi-Skilled or Unskilled Manual Work (e.g. machine operator, assembler, postman, waitress, cleaner, labourer, driver, b","Right","Neither positive nor negative","Neither positive nor negative","Other local daily morning newspaper","Fairly badly",5,"Neither a Leaver nor a Remainer"
63,"Man","North West","Labour","Leave",10,"£10,000 to £14,999 per year","£30,000 to £34,999 per year","20+","University or CNAA higher degree (e.g. M.Sc, Ph.D)","AB","Retired","Skipped","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Right","Somewhat positive effect","Neither positive nor negative","The Times","Don't know",4,"a Leaver"
64,"Woman","South East","Conservative","Leave",5,"Don't know","Don't know","16","CSE grade 1, GCE O level, GCSE, School Certificate","C1","Retired","Private sector firm or company (e.g. limited companies and Plcs)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Right","Very positive effect","Somewhat positive effect","The Daily Mail / The Scottish Daily Mail","Very well",10,"Neither a Leaver nor a Remainer"
74,"Woman","East of England","DK or did not vote","Remain",1,"£5,000 to £9,999 per year","£15,000 to £19,999 per year","15 or under","No formal qualifications","E","Retired","Other public sector employer (e.g. Central Government)","Skilled Manual Work (e.g. plumber, electrician, fitter)","Wrong","Somewhat negative effect","Neither positive nor negative","The Sun","Fairly well",4,"a Remainer"
45,"Woman","South East","Conservative","Did not vote",3,"£5,000 to £9,999 per year","£20,000 to £24,999 per year","16","CSE grade 1, GCE O level, GCSE, School Certificate","D","Working part time (8-29 hours a week)","Other public sector employer (e.g. Central Government)","Sales or Services (e.g. commercial traveller, shop assistant, nursery nurse, care assistant, paramedic)","Don’t know","Neither positive nor negative","Don't know","The Sun","Fairly well",7,"Neither a Leaver nor a Remainer"
25,"Man","North East","Labour","Leave",7,"£10,000 to £14,999 per year","£20,000 to £24,999 per year","20+","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","C2","Working full time (30 or more hours per week)","Nationalised industry or public corporation (e.g. Post Office)","Skilled Manual Work (e.g. plumber, electrician, fitter)","Right","Somewhat positive effect","Somewhat positive effect","None","Fairly badly",5,"a Leaver"
43,"Woman","Yorkshire and the Humber","Conservative","Leave",6,"£50,000 to £59,999 per year","£50,000 to £59,999 per year","20+","University or CNAA higher degree (e.g. M.Sc, Ph.D)","AB","Working part time (Less than 8 hours a week)","Other","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Right","Very positive effect","Neither positive nor negative","The Daily Mail / The Scottish Daily Mail","Don't know",4,"a Leaver"
55,"Woman","South East","Labour","Remain",8,"£25,000 to £29,999 per year","£45,000 to £49,999 per year","20+","University or CNAA higher degree (e.g. M.Sc, Ph.D)","AB","Working full time (30 or more hours per week)","Other public sector employer (e.g. Central Government)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Wrong","Very negative effect","Somewhat negative effect","The Daily Telegraph","Fairly badly",0,"a Remainer"
45,"Woman","South East","Conservative","Remain",5,"£5,000 to £9,999 per year","£45,000 to £49,999 per year","20+","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","C1","Working part time (8-29 hours a week)","Private sector firm or company (e.g. limited companies and Plcs)","Other","Don’t know","Somewhat positive effect","Somewhat negative effect","None","Don't know",3,"Neither a Leaver nor a Remainer"
56,"Woman","West Midlands","Conservative","Remain",5,"Prefer not to answer","Prefer not to answer","17-18","GCE A level or Higher Certificate","C1","Other","Other","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Wrong","Somewhat negative effect","Don't know","None","Fairly well",5,"Neither a Leaver nor a Remainer"
46,"Woman","Yorkshire and the Humber","Conservative","Leave",6,"under £5,000 per year","Prefer not to answer","19","GCE A level or Higher Certificate","AB","Working part time (Less than 8 hours a week)","Nationalised industry or public corporation (e.g. Post Office)","Sales or Services (e.g. commercial traveller, shop assistant, nursery nurse, care assistant, paramedic)","Right","Somewhat positive effect","Don't know","None","Don't know",5,"Neither a Leaver nor a Remainer"
70,"Man","Wales","DK or did not vote","Cannot remember",7,"£10,000 to £14,999 per year","£25,000 to £29,999 per year","17-18","GCE A level or Higher Certificate","C2","Retired","Private sector firm or company (e.g. limited companies and Plcs)","Sales or Services (e.g. commercial traveller, shop assistant, nursery nurse, care assistant, paramedic)","Don’t know","Don't know","Don't know","None","Don't know",5,"Don’t know"
35,"Man","Wales","Conservative","Leave",6,"£25,000 to £29,999 per year","under £5,000 per year","17-18","GCE A level or Higher Certificate","AB","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Foreman or Supervisor of Other Workers (e.g. building site foreman, supervisor of cleaning workers)","Right","Very positive effect","Somewhat positive effect","None","Fairly well",2,"Neither a Leaver nor a Remainer"
58,"Man","Scotland","SNP","Leave",8,"£15,000 to £19,999 per year","£25,000 to £29,999 per year","17-18","CSE grades 2-5","AB","Working full time (30 or more hours per week)","Skipped","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Right","Somewhat positive effect","Somewhat positive effect","The Daily Mail / The Scottish Daily Mail","Fairly well",8,"a Leaver"
68,"Woman","East Midlands","UKIP","Leave",10,"Prefer not to answer","Prefer not to answer","17-18","GCE A level or Higher Certificate","C1","Retired","Skipped","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Right","Somewhat positive effect","Neither positive nor negative","The Daily Telegraph","Fairly well",5,"a Leaver"
50,"Woman","East of England","Labour","Remain",10,"£30,000 to £34,999 per year","£45,000 to £49,999 per year","16","University or CNAA higher degree (e.g. M.Sc, Ph.D)","AB","Working full time (30 or more hours per week)","Nationalised industry or public corporation (e.g. Post Office)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Wrong","Very negative effect","Somewhat negative effect","None","Very badly",1,"Neither a Leaver nor a Remainer"
23,"Woman","London","DK or did not vote","Did not vote",5,"£20,000 to £24,999 per year","£20,000 to £24,999 per year","Still at school/Full time student","University diploma","AB","Full time student","Have never worked","Have never worked","Wrong","Very negative effect","Very negative effect","None","Fairly badly",0,"a Remainer"
44,"Woman","East of England","Conservative","Remain",8,"£20,000 to £24,999 per year","£50,000 to £59,999 per year","20+","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","AB","Working full time (30 or more hours per week)","Nationalised industry or public corporation (e.g. Post Office)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Wrong","Somewhat negative effect","Neither positive nor negative","The Times","Fairly well",5,"a Remainer"
44,"Woman","Yorkshire and the Humber","Conservative","Remain",6,"£5,000 to £9,999 per year","£40,000 to £44,999 per year","17-18","Other technical, professional or higher qualification","C1","Working part time (8-29 hours a week)","Private sector firm or company (e.g. limited companies and Plcs)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Don’t know","Neither positive nor negative","Somewhat positive effect","None","Fairly well",5,"a Remainer"
68,"Man","West Midlands","Conservative","Leave",7,"Prefer not to answer","Prefer not to answer","16","Other technical, professional or higher qualification","C1","Retired","Skipped","Skilled Manual Work (e.g. plumber, electrician, fitter)","Right","Very positive effect","Somewhat positive effect","The Express","Fairly well",10,"Neither a Leaver nor a Remainer"
21,"Man","Yorkshire and the Humber","Labour","Remain",7,"under £5,000 per year","under £5,000 per year","Still at school/Full time student","GCE A level or Higher Certificate","C1","Full time student","Skipped","Have never worked","Wrong","Somewhat negative effect","Neither positive nor negative","The Guardian","Don't know",0,"a Remainer"
43,"Woman","South East","Labour","Leave",6,"£25,000 to £29,999 per year","£60,000 to £69,999 per year","16","GCE A level or Higher Certificate","C2","Other","Other","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Right","Very positive effect","Somewhat positive effect","None","Very badly",8,"a Leaver"
47,"Man","Wales","DK or did not vote","Leave",1,"under £5,000 per year","£5,000 to £9,999 per year","16","City & Guilds certificate - advanced","E","Not working","Self-employed","Skilled Manual Work (e.g. plumber, electrician, fitter)","Right","Somewhat positive effect","Neither positive nor negative","None","Fairly badly",9,"Neither a Leaver nor a Remainer"
75,"Man","Yorkshire and the Humber","Labour","Did not vote",2,"Prefer not to answer","Prefer not to answer","15 or under","No formal qualifications","D","Retired","Skipped","Semi-Skilled or Unskilled Manual Work (e.g. machine operator, assembler, postman, waitress, cleaner, labourer, driver, b","Wrong","Somewhat negative effect","Neither positive nor negative","None","Fairly badly",9,"Neither a Leaver nor a Remainer"
31,"Woman","West Midlands","Labour","Remain",6,"£25,000 to £29,999 per year","£25,000 to £29,999 per year","20+","Other technical, professional or higher qualification","D","Working full time (30 or more hours per week)","Nationalised industry or public corporation (e.g. Post Office)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Wrong","Very negative effect","Somewhat negative effect","The Guardian","Very badly",1,"Neither a Leaver nor a Remainer"
71,"Woman","East Midlands","Labour","Remain",7,"under £5,000 per year","Prefer not to answer","15 or under","CSE grade 1, GCE O level, GCSE, School Certificate","C1","Retired","Private sector firm or company (e.g. limited companies and Plcs)","Semi-Skilled or Unskilled Manual Work (e.g. machine operator, assembler, postman, waitress, cleaner, labourer, driver, b","Wrong","Neither positive nor negative","Neither positive nor negative","Other Newspaper","Fairly badly",7,"Neither a Leaver nor a Remainer"
48,"Woman","South East","Labour","Remain",7,"£10,000 to £14,999 per year","£30,000 to £34,999 per year","20+","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","AB","Working part time (8-29 hours a week)","Nationalised industry or public corporation (e.g. Post Office)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Don’t know","Neither positive nor negative","Neither positive nor negative","None","Fairly well",3,"Neither a Leaver nor a Remainer"
30,"Woman","South East","Labour","Remain",8,"£20,000 to £24,999 per year","£45,000 to £49,999 per year","19","Other technical, professional or higher qualification","AB","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Wrong","Neither positive nor negative","Don't know","None","Fairly badly",6,"Neither a Leaver nor a Remainer"
36,"Woman","Scotland","Labour","Remain",6,"£15,000 to £19,999 per year","£10,000 to £14,999 per year","17-18","GCE A level or Higher Certificate","C2","Working full time (30 or more hours per week)","Nationalised industry or public corporation (e.g. Post Office)","Semi-Skilled or Unskilled Manual Work (e.g. machine operator, assembler, postman, waitress, cleaner, labourer, driver, b","Wrong","Neither positive nor negative","Neither positive nor negative","The Daily Star / The Daily Star of Scotland","Fairly well",5,"a Remainer"
70,"Woman","East of England","Conservative","Leave",2,"£5,000 to £9,999 per year","under £5,000 per year","15 or under","No formal qualifications","E","Retired","Skipped","Sales or Services (e.g. commercial traveller, shop assistant, nursery nurse, care assistant, paramedic)","Right","Neither positive nor negative","Neither positive nor negative","None","Fairly badly",5,"Neither a Leaver nor a Remainer"
37,"Man","West Midlands","Labour","Leave",7,"£15,000 to £19,999 per year","£50,000 to £59,999 per year","20+","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","AB","Working full time (30 or more hours per week)","Other public sector employer (e.g. Central Government)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Right","Somewhat positive effect","Somewhat positive effect","Other Newspaper","Fairly well",10,"a Leaver"
55,"Woman","Wales","Plaid","Leave",6,"£45,000 to £49,999 per year","£40,000 to £44,999 per year","17-18","Teaching qualification (not degree)","AB","Retired","Skipped","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Don’t know","Neither positive nor negative","Neither positive nor negative","Other Newspaper","Don't know",8,"a Leaver"
35,"Woman","Scotland","SNP","Remain",0,"Don't know","Prefer not to answer","16","CSE grade 1, GCE O level, GCSE, School Certificate","C2","Not working","Skipped","Other","Don’t know","Don't know","Don't know","None","Don't know",10,"Don’t know"
74,"Woman","South West","Conservative","Leave",5,"£5,000 to £9,999 per year","£20,000 to £24,999 per year","17-18","CSE grade 1, GCE O level, GCSE, School Certificate","C2","Retired","Private sector firm or company (e.g. limited companies and Plcs)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Right","Somewhat positive effect","Neither positive nor negative","The Independent","Fairly well",9,"a Leaver"
67,"Woman","North West","UKIP","Leave",8,"£10,000 to £14,999 per year","£10,000 to £14,999 per year","16","GCE A level or Higher Certificate","E","Retired","Skipped","Other","Right","Very positive effect","Neither positive nor negative","The Guardian","Fairly badly",6,"a Leaver"
67,"Man","Scotland","Other","Leave",5,"£5,000 to £9,999 per year","£5,000 to £9,999 per year","20+","City & Guilds certificate - advanced","E","Retired","Skipped","Skilled Manual Work (e.g. plumber, electrician, fitter)","Right","Somewhat positive effect","Neither positive nor negative","None","Don't know",7,"a Leaver"
51,"Man","Scotland","Other","Leave",10,"£100,000 and over","£150,000 and over","17-18","Scottish Higher Certificate","AB","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Right","Somewhat negative effect","Neither positive nor negative","The Guardian","Fairly badly",10,"a Leaver"
27,"Woman","South West","Labour","Remain",6,"£5,000 to £9,999 per year","£30,000 to £34,999 per year","17-18","CSE grade 1, GCE O level, GCSE, School Certificate","AB","Working part time (8-29 hours a week)","Private sector firm or company (e.g. limited companies and Plcs)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Wrong","Somewhat negative effect","Somewhat negative effect","None","Very badly",2,"a Leaver"
44,"Woman","East Midlands","DK or did not vote","Did not vote",8,"£25,000 to £29,999 per year","£25,000 to £29,999 per year","20+","University or CNAA higher degree (e.g. M.Sc, Ph.D)","AB","Working part time (8-29 hours a week)","Nationalised industry or public corporation (e.g. Post Office)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Wrong","Very negative effect","Very negative effect","The Guardian","Very badly",0,"a Remainer"
52,"Woman","Wales","UKIP","Leave",10,"Prefer not to answer","Prefer not to answer","20+","Other technical, professional or higher qualification","AB","Working part time (8-29 hours a week)","Private sector firm or company (e.g. limited companies and Plcs)","Manager or Senior Administrator / intermediate managerial / professional (e.g. company director, finance manager, person","Right","Very positive effect","Very positive effect","None","Fairly well",5,"a Leaver"
45,"Man","North West","Liberal Democrat","Remain",4,"£20,000 to £24,999 per year","£25,000 to £29,999 per year","17-18","Other technical, professional or higher qualification","C1","Working full time (30 or more hours per week)","Private sector firm or company (e.g. limited companies and Plcs)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Wrong","Very negative effect","Very negative effect","None","Very badly",0,"a Remainer"
63,"Man","East Midlands","Conservative","Leave",10,"£10,000 to £14,999 per year","£15,000 to £19,999 per year","20+","Other technical, professional or higher qualification","AB","Retired","Skipped","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Right","Somewhat positive effect","Somewhat positive effect","The Daily Mail / The Scottish Daily Mail","Fairly well",6,"Neither a Leaver nor a Remainer"
63,"Woman","South East","Conservative","Remain",7,"Prefer not to answer","Prefer not to answer","16","University or CNAA first degree (e.g. BA, B.Sc, B.Ed)","C1","Working part time (Less than 8 hours a week)","Other public sector employer (e.g. Central Government)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Wrong","Somewhat negative effect","Somewhat negative effect","None","Don't know",3,"Neither a Leaver nor a Remainer"
70,"Man","West Midlands","Conservative","Leave",7,"£10,000 to £14,999 per year","£15,000 to £19,999 per year","16","CSE grade 1, GCE O level, GCSE, School Certificate","C1","Retired","Private sector firm or company (e.g. limited companies and Plcs)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Right","Somewhat positive effect","Somewhat positive effect","The Sun","Fairly well",8,"a Leaver"
34,"Woman","East Midlands","Labour","Leave",5,"£5,000 to £9,999 per year","£10,000 to £14,999 per year","16","Prefer not to say","C2","Working part time (8-29 hours a week)","Private sector firm or company (e.g. limited companies and Plcs)","Clerical/junior managerial/professional/administrator (e.g. office worker, student doctor, sales person, clerk, secretar","Right","Somewhat positive effect","Neither positive nor negative","The Sun","Fairly badly",7,"a Leaver"
62,"Woman","South West","Liberal Democrat","Remain",9,"£10,000 to £14,999 per year","£40,000 to £44,999 per year","20+","Teaching qualification (not degree)","D","Retired","Skipped","Professional or higher technical work / higher managerial - work that requires at least degree-level qualifications (e.g","Wrong","Very negative effect","Very negative effect","The Daily Mail / The Scottish Daily Mail","Very badly",0,"a Remainer"
